coin,model,MSE,RMSE,MAE,R2,MAPE
BTC,ARIMA,241881447.19206396,15552.538287754316,15140.52668028346,-17.99697248643342,16.86142041048774
BTC,LSTM,2300967684.5277624,47968.40298079312,39674.319964725655,-179.71423130041734,43.79985133959923
BTC,Prophet,275059445.458715,16584.916202945224,16199.21014708629,-20.60271810083781,18.03003461459262
ETH,ARIMA,270576.7265550803,520.1699016235756,497.0623272336636,-10.524410969335513,16.490707532633582
ETH,LSTM,3375840.7236704878,1837.3461088402717,1622.8781888902095,-142.78389583583805,52.93352110643627
ETH,Prophet,307285.38555459835,554.3332802156103,532.709425848466,-12.087907127448448,17.65561460795992
ADA,ARIMA,0.033487933992694646,0.18299708738855558,0.1770613416381067,-14.556534607887361,44.9922646344881
ADA,LSTM,0.054556914966630066,0.23357421725573665,0.20142257153659104,-24.343950330381535,49.70772311623619
ADA,Prophet,0.03559734339935323,0.18867258253215602,0.18292151669832338,-15.536442787473653,46.442187280833
XRP,ARIMA,0.24525974584011112,0.49523706024500136,0.4732805249286797,-10.950892237259373,23.64817711901159
XRP,LSTM,1.4705218455127966,1.2126507516646319,1.0642141633646667,-70.65484106680931,51.38213715202327
XRP,Prophet,0.26982250894240883,0.519444423343257,0.4985474123697474,-12.147774073205902,24.88465889020171
BNB,ARIMA,12534.622081314234,111.95812646393398,106.96741635601026,-10.461651562345846,12.214776867408398
BNB,LSTM,328219.1217169584,572.9041121487595,534.1850012907213,-299.1233850382289,60.21807346936705
BNB,Prophet,14759.862794720602,121.49017571277359,116.90713846477585,-12.496410451282014,13.336924636082484
SOL,ARIMA,1125.2335275932292,33.54450070567796,32.67621968381266,-18.823046496406597,24.788201528101123
SOL,LSTM,3815.372477140522,61.76870143641132,50.53497630844753,-66.21476401190881,37.41872513076615
SOL,Prophet,1236.9058249662107,35.16967194851568,34.34239557928092,-20.790358248945672,26.036083543382134
DOGE,ARIMA,0.0019001828287425057,0.04359108657446503,0.04185331415722379,-11.882634879074594,30.691240956931825
DOGE,LSTM,0.005301564071198522,0.07281184018549813,0.062066581243401794,-34.94291727310724,44.23880135897501
DOGE,Prophet,0.002056398665062957,0.04534753207246186,0.043679581545371375,-12.941728536382014,31.998153366501146
DOT,ARIMA,1.2881594107199112,1.1349711056762244,1.09166991042042,-12.394417412153478,53.354123757340886
DOT,LSTM,1.4805035742804236,1.2167594562116308,1.0464380451371396,-14.394432310993668,49.07458039254504
DOT,Prophet,1.3602684222297923,1.1663054583726307,1.124210719113665,-13.14421451902035,54.88766499491431
LTC,ARIMA,546.7934385639429,23.38361474545676,22.271730679217157,-9.91072023474014,28.178595428973686
LTC,LSTM,1838.1144316682291,42.87323677620141,35.79344995216617,-35.677748687039404,43.562813417354405
LTC,Prophet,594.1960693278329,24.376137293013283,23.311498670940836,-10.856592672444982,29.460381383263424
TRX,ARIMA,0.0001650951877602106,0.012848937222985043,0.011035241841477365,-0.40575021061538763,3.868654793509186
TRX,LSTM,0.029060365770535137,0.1704710115255234,0.14778143231271545,-246.44279864670634,50.94966140344269
TRX,Prophet,0.00021468223130446392,0.014652038469252799,0.01277956510406228,-0.8279732799356945,4.498133296765363
